loc.loc.adjacentBuilding
loc.per.engineer.civilEngineer
loc.per.engineer.servicesEngineer
loc.per.engineer.structuralEngineer
loc.per.firstAscentPerson
loc.per.founder
loc.per.fundedBy
loc.per.historian
loc.per.landlord
loc.per.leader
loc.per.manager
loc.per.manager.generalManager
loc.per.namedAfter
loc.per.occupant
loc.per.officeholder
loc.per.officeholder.commander
loc.per.officeholder.commissionedBy
loc.per.officeholder.deputy
loc.per.officeholder.governor
loc.per.officeholder.headOfGovernment
loc.per.officeholder.headOfState
loc.per.officeholder.mayor
loc.per.officeholder.president
loc.per.owner
loc.per.owner.currentOwner
loc.per.owner.previousOwner
loc.per.pastor
loc.per.pastor.seniorPastor
loc.per.patron
loc.per.patron.patronSaint
loc.per.people
loc.per.people.keyPeople
loc.per.representative
loc.per.restoredBy
loc.per.saint
loc.per.surveyor
loc.per.surveyor.quantitySurveyor
loc.per.tenant
loc.per.warden
org.loc.airlineHub
org.loc.allegiance
org.loc.ancestralHome
org.loc.appliesToJurisdiction
org.loc.battleFoughtAt
org.loc.broadcastArea
org.loc.campusLocation
org.loc.cathedral
org.loc.city
org.loc.country
org.loc.country.countryOfOrigin
org.loc.administrativeDivision
org.loc.administrativeDivision.county
org.loc.estate
org.loc.foundingLocation
org.loc.garrison
org.loc.ground
org.loc.ground.homeArena
org.loc.ground.homeVenue
org.loc.ground.homeStadium
org.loc.headquarter
org.loc.headquarter.headquartersCity
org.loc.headquarter.headquartersCountry
org.loc.headquarter.headquartersLocation
org.loc.jurisdiction
org.loc.localAuthority
org.loc.locality
org.loc.locatedAt
org.loc.namedAfter
org.loc.operatingArea
org.loc.origin
org.loc.ownerOf
org.loc.province
org.loc.publishingLocation
org.loc.publishingLocation.publishingCity
org.loc.publishingLocation.publishingCountry
org.loc.region
org.loc.regionServed
org.loc.state
org.loc.street
org.loc.targetAirport
org.loc.workLocation
org.org.affiliation
org.org.affiliation.athleticsAffiliation
org.org.affiliation.europeanAffiliation
org.org.affiliation.internationalAffiliation
org.org.affiliation.nationalAffiliation
org.org.agency
org.org.agency.childAgency
org.org.agency.operatingAgency
org.org.agency.parentAgency
org.org.alliance
org.org.alliance.airlineAlliance
org.org.allies
org.org.allegiance
org.org.archivesAt
org.org.associatedWith
org.org.associatedWith.band
org.org.associatedWith.family
org.org.associatedWith.federation
org.org.associatedWith.league
org.org.associatedWith.stockExchange
org.org.associatedWith.union
org.org.associatedWith.university
org.org.authority
org.org.broadcastNetwork
org.org.broadcastNetwork.formerBroadcastNetwork
org.org.businessDivision
org.org.club
org.org.club.parentClub
org.org.commandStructure
org.org.company
org.org.company.distributingCompany
org.org.company.owningCompany
org.org.company.parentCompany
org.org.designatedAsTerroristBy
org.org.developer
org.org.distributingLabel
org.org.division
org.org.executiveBody
org.org.followedBy
org.org.follows
org.org.hasPart
org.org.influencedBy
org.org.investor
org.org.isPartOf
org.org.legislativeBody
org.org.legislativeBody.house
org.org.localAuthority
org.org.makesProductFor
org.org.manufacturer
org.org.memberOf
org.org.mergedIntoParty
org.org.militaryBranch
org.org.mostTitles
org.org.namedAfter
org.org.operator
org.org.organization
org.org.organization.childOrganization
org.org.organization.foundingOrganization
org.org.organization.parentOrganization
org.org.owner
org.org.owner.currentOwner
org.org.owner.previousOwner
org.org.ownerOf
org.org.participant
org.org.partnershipWith
org.org.politicalParty
org.org.politicalParty.politicalPartyInLegislature
org.org.politicalParty.politicalPartyOfLeader
org.org.predecessor
org.org.producer
org.org.publisher
org.org.recordLabel
org.org.religion
org.org.religion.religiousOrder
org.org.replacedBy
org.org.replaces
org.org.represents
org.org.rival
org.org.splitFromParty
org.org.sponsor
org.org.subsidiary
org.org.subsidiary.sisterStation
org.org.successor
org.per.administrator
org.per.alumni
org.per.ambassador
org.per.architect
org.per.associatedWith
org.per.associatedWith.musicalArtist
org.per.captain
org.per.chairperson
org.per.chief
org.per.chief.chiefExecutive
org.per.chief.chiefExecutiveOfficer
org.per.coach
org.per.coach.assistantCoach
org.per.coach.headCoach
org.per.coach.womanCoach
org.per.conductor
org.per.conductor.ChiefConductor
org.per.creator
org.per.crewMember
org.per.director
org.per.director.boardOfDirectors
org.per.director.musicDirector
org.per.editor
org.per.editor.associateEditor
org.per.editor.campusEditor
org.per.editor.chiefEditor
org.per.editor.deputyEditor
org.per.editor.managingEditor
org.per.editor.managingEditor.managingEditorDesign
org.per.editor.metroEditor
org.per.editor.newsEditor
org.per.editor.opinionEditor
org.per.editor.photoEditor
org.per.editor.sportsEditor
org.per.flagBearer
org.per.founder
org.per.head
org.per.head.currentHead
org.per.head.finalHead
org.per.head.finalRuler
org.per.influencedBy
org.per.investor
org.per.leader
org.per.manager
org.per.manager.generalManager
org.per.manager.teamManager
org.per.member
org.per.member.bandMember
org.per.member.bandMember.formerBandMember
org.per.member.boardMember
org.per.member.connectedMembers
org.per.member.currentMember
org.per.member.formerMember
org.per.mostCaps
org.per.musicalConductor
org.per.namedAfter
org.per.officeholder
org.per.officeholder.chairman
org.per.officeholder.chancellor
org.per.officeholder.chiefJudge
org.per.officeholder.commander
org.per.officeholder.commander.notableCommander
org.per.officeholder.commander.secondCommander
org.per.officeholder.commander.commanderInChief
org.per.officeholder.dean
org.per.officeholder.minister
org.per.officeholder.president
org.per.officeholder.principal
org.per.officeholder.secretaryGeneral
org.per.officeholder.viceChancellor
org.per.officeholder.vicePresident
org.per.owner
org.per.owner.currentOwner
org.per.owner.previousOwner
org.per.participant
org.per.patron
org.per.patron.patronSaint
org.per.patron.schoolPatron
org.per.people
org.per.people.keyPeople
org.per.performer
org.per.producer
org.per.rector
org.per.secretary
org.per.secretary.firstSecretary
org.per.signatory
org.per.spokesperson
org.per.sponsor
org.per.student
org.per.superintendent
org.per.topScorer
per.loc.ancestralHome
per.loc.archivesAt
per.loc.awardedAt
per.loc.battleFoughtAt
per.loc.beatifiedPlace
per.loc.billedFrom
per.loc.bodyDiscoveredPlcae
per.loc.canonizedPlace
per.loc.country
per.loc.country.countryForSport
per.loc.country.countryOfCitizenship
per.loc.country.countryOfOrigin
per.loc.country.formerCountry
per.loc.country.homeCountry
per.loc.country.nationality
per.loc.disappearedPlace
per.loc.administrativeDivision
per.loc.administrativeDivision.district
per.loc.administrativeDivision.district.electoralDistrict
per.loc.exhibitionHistory
per.loc.hometown
per.loc.honouredAt
per.loc.imprisonedAt
per.loc.locatedAt
per.loc.majorShrine
per.loc.missionAt
per.loc.monuments
per.loc.notableWork
per.loc.officeholder
per.loc.officeholder.commanderOf
per.loc.origin
per.loc.ownerOf
per.loc.permanentResidentOf
per.loc.placeOfBirth
per.loc.placeOfBurial
per.loc.placeOfDeath
per.loc.placeOfDetention
per.loc.region
per.loc.religiousInstitution
per.loc.religiousInstitution.church
per.loc.religiousInstitution.temple
per.loc.residence
per.loc.restaurant
per.loc.restingPlace
per.loc.significantBuilding
per.loc.significantProject
per.loc.state
per.loc.state.stateOfOrigin
per.loc.trainingLocation
per.loc.trainingLocation.currentTrainingLocation
per.loc.trainingLocation.formerTrainingLocation
per.loc.trainingLocation.gym
per.loc.workLocation
per.org.affiliation
per.org.agency
per.org.agentCompany
per.org.allegiance
per.org.almaMater
per.org.archivesAt
per.org.associatedWith
per.org.associatedWith.band
per.org.associatedWith.institution
per.org.associatedWith.institution.professorshipAt
per.org.associatedWith.league
per.org.associatedWith.league.prospectLeague
per.org.awardedBy
per.org.battleFaughtUnder
per.org.boardMemberOf
per.org.chairpersonOf
per.org.chiefExecutiveOfficerOf
per.org.club
per.org.club.coachedClub
per.org.club.currentClub
per.org.club.youthClub
per.org.coachOf
per.org.coachOf.assistCoachOf
per.org.coachOf.formerCoachOf
per.org.coachOf.headCoachOf
per.org.directorOf
per.org.draftedBy
per.org.educatedAt
per.org.educatedAt.college
per.org.educatedAt.highSchool.formerHighSchool
per.org.educatedAt.highSchool
per.org.educatedAt.school
per.org.educatedAt.university
per.org.employer
per.org.family
per.org.family.house
per.org.founderOf
per.org.influenced
per.org.influencedBy
per.org.isPartOf
per.org.managerOf
per.org.managerOf.managerOfClub
per.org.memberOf
per.org.memberOf.currentMemberOf
per.org.memberOf.memberOfAssembly
per.org.memberOf.memberOfMovement
per.org.memberOf.memberOfParliament
per.org.memberOf.memberOfPoliticalParty
per.org.memberOf.memberOfStateAssembly
per.org.memberOf.memberOfStateDelegate
per.org.memberOf.memberOfStateHouse
per.org.memberOf.memberOfStateLegislature
per.org.memberOf.pastMemberOf
per.org.militaryBranch
per.org.militaryUnit
per.org.officeholder
per.org.officeholder.commanderOf
per.org.ownerOf
per.org.participantOf
per.org.positionHeld
per.org.practiceAt
per.org.recordLabel
per.org.religion
per.org.religion.religiousOrder
per.org.sponsoredBy
per.org.team
per.org.team.amateurTeam
per.org.team.coachedTeam
per.org.team.collegeTeam
per.org.team.currentTeam
per.org.team.debutTeam
per.org.team.draftTeam
per.org.team.formerTeam
per.org.team.managedTeam
per.org.team.nationalTeam
per.org.team.olympicTeam
per.org.team.prospectTeam
per.org.team.proTeam
per.org.team.sportsTeam
per.org.team.universityTeam
per.org.team.worldsTeam
per.org.trainedAt
per.org.wantedBy
per.per.advisor
per.per.advisor.academicAdvisor
per.per.advisor.doctoralAdvisor
per.per.agent
per.per.appointedBy
per.per.associatedWith
per.per.associatedWith.musicalArtist
per.per.awardedBy
per.per.beatifiedBy
per.per.canonizedBy
per.per.choreographer
per.per.choreographer.formerChoreographer
per.per.coachOf
per.per.coachOf.assistCoachOf
per.per.coachOf.formerCoachOf
per.per.coachOf.headCoachOf
per.per.consecrator
per.per.createdCardinalBy
per.per.employer
per.per.relative
per.per.relative.child
per.per.relative.parent
per.per.relative.parent.father
per.per.relative.parent.mother
per.per.relative.parent.stepParent
per.per.relative.sibling
per.per.relative.spouse
per.per.influenced
per.per.influencedBy
per.per.inspiredBy
per.per.namedAfter
per.per.nominatedBy
per.per.officeholder
per.per.officeholder.deputy
per.per.officeholder.inOfficeChancellor
per.per.officeholder.inOfficeGovernor
per.per.officeholder.inOfficeGovernorGeneral
per.per.officeholder.inOfficeLieutenant
per.per.officeholder.inOfficeMonarch
per.per.officeholder.inOfficePresident
per.per.officeholder.inOfficePrimeMinister
per.per.officeholder.inOfficeVicePresident
per.per.officeholder.inOfficeVicePrimeMinister
per.per.opponent
per.per.ordinatedBy
per.per.partner
per.per.partner.currentPartner
per.per.partner.domesticPartner
per.per.partner.formerPartner
per.per.partner.lifePartner
per.per.partner.professionalPartner
per.per.partner.sportsPartner
per.per.patron
per.per.predecessor
per.per.replacedBy
per.per.replaces
per.per.servedAlongside
per.per.sponsoredBy
per.per.student
per.per.student.doctoralStudent
per.per.student.notableStudent
per.per.studentOf
per.per.successor
per.per.teacher
per.per.teacher.guru
per.per.trainer
per.per.victim
