relation,id
rel.org.org-loc.publishingLocation.publishingCountry,R10200136
rel.org.org-loc.region,R10200137
rel.org.org-loc.regionServed,R10200138
rel.org.org-loc.state,R10200139
rel.org.org-loc.street,R10200140
rel.org.org-loc.targetAirport,R10200141
rel.org.org-loc.workLocation,R10200142
rel.org.org-org,R102002
rel.org.org-org.affiliation,R1020021
rel.org.org-org.affiliation.athleticsAffiliation,R1020022
rel.org.org-org.affiliation.europeanAffiliation,R1020023
rel.org.org-org.affiliation.internationalAffiliation,R1020024
rel.org.org-org.affiliation.nationalAffiliation,R1020025
rel.org.org-org.agency,R1020026
rel.org.org-org.agency.childAgency,R1020027
rel.org.org-org.agency.operatingAgency,R1020028
rel.org.org-org.agency.parentAgency,R1020029
rel.org.org-org.alliance,R10200210
rel.org.org-org.alliance.airlineAlliance,R10200211
rel.org.org-org.allies,R10200212
rel.org.org-org.allegiance,R10200213
rel.org.org-org.archivesAt,R10200214
rel.org.org-org.associatedWith,R10200215
rel.org.org-org.associatedWith.band,R10200216
rel.org.org-org.associatedWith.family,R10200217
rel.org.org-org.associatedWith.federation,R10200218
rel.org.org-org.associatedWith.league,R10200219
rel.org.org-org.associatedWith.stockExchange,R10200220
rel.org.org-org.associatedWith.union,R10200221
rel.org.org-org.associatedWith.university,R10200222
rel.org.org-org.authority,R10200223
rel.org.org-org.broadcastNetwork,R10200224
rel.org.org-org.broadcastNetwork.formerBroadcastNetwork,R10200225
rel.org.org-org.businessDivision,R10200226
rel.org.org-org.club,R10200227
rel.org.org-org.club.parentClub,R10200228
rel.org.org-org.commandStructure,R10200229
rel.org.org-org.company,R10200230
rel.org.org-org.company.distributingCompany,R10200231
rel.org.org-org.company.owningCompany,R10200232
rel.org.org-org.company.parentCompany,R10200233
rel.org.org-org.designatedAsTerroristBy,R10200234
rel.org.org-org.developer,R10200235
rel.org.org-org.distributingLabel,R10200236
rel.org.org-org.division,R10200237
rel.org.org-org.executiveBody,R10200238
rel.org.org-org.followedBy,R10200239
rel.org.org-org.follows,R10200240
rel.org.org-org.hasPart,R10200241
rel.org.org-org.influencedBy,R10200242
rel.org.org-org.investor,R10200243
rel.org.org-org.isPartOf,R10200244
rel.org.org-org.legislativeBody,R10200245
rel.org.org-org.legislativeBody.house,R10200246
rel.org.org-org.localAuthority,R10200247
rel.org.org-org.makesProductFor,R10200248
rel.org.org-org.manufacturer,R10200249
rel.org.org-org.memberOf,R10200250
rel.org.org-org.mergedIntoParty,R10200251
rel.org.org-org.militaryBranch,R10200252
rel.org.org-org.mostTitles,R10200253
rel.org.org-org.namedAfter,R10200254
rel.org.org-org.operator,R10200255
rel.org.org-org.organization,R10200256
rel.org.org-org.organization.childOrganization,R10200257
rel.org.org-org.organization.foundingOrganization,R10200258
rel.org.org-org.organization.parentOrganization,R10200259
rel.org.org-org.owner,R10200260
rel.org.org-org.owner.currentOwner,R10200261
rel.org.org-org.owner.previousOwner,R10200262
rel.org.org-org.ownerOf,R10200263
rel.org.org-org.participant,R10200264
rel.org.org-org.partnershipWith,R10200265
rel.org.org-org.politicalParty,R10200266
rel.org.org-org.politicalParty.politicalPartyInLegislature,R10200267
rel.org.org-org.politicalParty.politicalPartyOfLeader,R10200268
rel.org.org-org.predecessor,R10200269
rel.org.org-org.producer,R10200270
rel.org.org-org.publisher,R10200271
rel.org.org-org.recordLabel,R10200272
rel.org.org-org.religion,R10200273
rel.org.org-org.religion.religiousOrder,R10200274
rel.org.org-org.replacedBy,R10200275
rel.org.org-org.replaces,R10200276
rel.org.org-org.represents,R10200277
rel.org.org-org.rival,R10200278
rel.org.org-org.splitFromParty,R10200279
rel.org.org-org.sponsor,R10200280
rel.org.org-org.subsidiary,R10200281
rel.org.org-org.subsidiary.sisterStation,R10200282
rel.org.org-org.successor,R10200283
rel.org.org-per,R102003
rel.org.org-per.administrator,R1020031
rel.org.org-per.alumni,R1020032
rel.org.org-per.ambassador,R1020033
